frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
94,7.092397000,8.129.131.148,192.168.1.168,88,53,57350,1,0,RXdzRiNmNJbUU1SzV1SlRRKytFYkJSbUt5cGRUOUJncFFxaTVEQ1R1SzM5.com,62,2,1,0x00000001,1,0,0,0,,,
95,7.092882000,192.168.1.168,8.129.131.148,88,57351,53,0,,cFRGYmw5WWZ2cmZmQVZ0c2RtWXJYc1lmcHphV25GUjVMT1k2TjdYeUdyS2.com,62,2,1,0x00000001,1,0,0,0,,,
96,7.129336000,8.129.131.148,192.168.1.168,88,53,57351,1,0,cFRGYmw5WWZ2cmZmQVZ0c2RtWXJYc1lmcHphV25GUjVMT1k2TjdYeUdyS2.com,62,2,1,0x00000001,1,0,0,0,,,
97,7.129846000,192.168.1.168,8.129.131.148,88,57352,53,0,,5LQW03YktaNEtOODRGcXhndVhSQUdIUkszYmx5N2ZjY082bmQyUytHZ21J.com,62,2,1,0x00000001,1,0,0,0,,,
98,7.168772000,8.129.131.148,192.168.1.168,88,53,57352,1,0,5LQW03YktaNEtOODRGcXhndVhSQUdIUkszYmx5N2ZjY082bmQyUytHZ21J.com,62,2,1,0x00000001,1,0,0,0,,,
99,7.169298000,192.168.1.168,8.129.131.148,88,57353,53,0,,akczM3hWWjBDK2lvYi9jY3phTUsvZTFPZjNoVXJ5YUhIQXNnNzdpOVlLaG.com,62,2,1,0x00000001,1,0,0,0,,,
100,7.210974000,8.129.131.148,192.168.1.168,88,53,57353,1,0,akczM3hWWjBDK2lvYi9jY3phTUsvZTFPZjNoVXJ5YUhIQXNnNzdpOVlLaG.com,62,2,1,0x00000001,1,0,0,0,,,
101,7.211471000,192.168.1.168,8.129.131.148,88,57354,53,0,,RDWXluV0VoTGJqNDVxMTRUcytoNER0WTNuTXNWUkdLT2hFUFJoVHozdjFO.com,62,2,1,0x00000001,1,0,0,0,,,
102,7.255283000,8.129.131.148,192.168.1.168,88,53,57354,1,0,RDWXluV0VoTGJqNDVxMTRUcytoNER0WTNuTXNWUkdLT2hFUFJoVHozdjFO.com,62,2,1,0x00000001,1,0,0,0,,,
103,7.255684000,192.168.1.168,8.129.131.148,88,57355,53,0,,Wm9xU0J6YS9hb0Uwb3hPTzFMQ2E3TnJQMC9lVlJpUUcrQVlTMmVoS2RXb3.com,62,2,1,0x00000001,1,0,0,0,,,
104,7.294891000,8.129.131.148,192.168.1.168,88,53,57355,1,0,Wm9xU0J6YS9hb0Uwb3hPTzFMQ2E3TnJQMC9lVlJpUUcrQVlTMmVoS2RXb3.com,62,2,1,0x00000001,1,0,0,0,,,
105,7.295428000,192.168.1.168,8.129.131.148,88,57356,53,0,,RWdzdxU1ArdVh4L3gxekdxSXh1d2Ntc0swbjVYVUVFTFpQT3g3WkFJR01W.com,62,2,1,0x00000001,1,0,0,0,,,
106,7.336452000,8.129.131.148,192.168.1.168,88,53,57356,1,0,RWdzdxU1ArdVh4L3gxekdxSXh1d2Ntc0swbjVYVUVFTFpQT3g3WkFJR01W.com,62,2,1,0x00000001,1,0,0,0,,,
107,7.336939000,192.168.1.168,8.129.131.148,88,57357,53,0,,S0dMRGNEeVlnS01rdjJUMEEwVTF0SHZpellncnFESm5jK1QxZkRJRitTMz.com,62,2,1,0x00000001,1,0,0,0,,,
108,7.380174000,8.129.131.148,192.168.1.168,88,53,57357,1,0,S0dMRGNEeVlnS01rdjJUMEEwVTF0SHZpellncnFESm5jK1QxZkRJRitTMz.com,62,2,1,0x00000001,1,0,0,0,,,
109,7.380638000,192.168.1.168,8.129.131.148,88,57358,53,0,,ZFQUdiQ3R4L3VSZTYwaGlQbmdjSlMwZjVUSzZUN3ZNOEJkVEU1ZjRvVENt.com,62,2,1,0x00000001,1,0,0,0,,,
110,7.419006000,8.129.131.148,192.168.1.168,88,53,57358,1,0,ZFQUdiQ3R4L3VSZTYwaGlQbmdjSlMwZjVUSzZUN3ZNOEJkVEU1ZjRvVENt.com,62,2,1,0x00000001,1,0,0,0,,,
111,7.419560000,192.168.1.168,8.129.131.148,88,57359,53,0,,ZDRORlk4SFBKWHQ1QS9EZzdtZnhxVlNQR3Q4OHU2V3VmcU56YkJtSXFQVz.com,62,2,1,0x00000001,1,0,0,0,,,
112,7.460819000,8.129.131.148,192.168.1.168,88,53,57359,1,0,ZDRORlk4SFBKWHQ1QS9EZzdtZnhxVlNQR3Q4OHU2V3VmcU56YkJtSXFQVz.com,62,2,1,0x00000001,1,0,0,0,,,
113,7.461363000,192.168.1.168,8.129.131.148,88,57360,53,0,,lJdTFiaWVvemVhdEJkWnBqc01sMGtNRDY5eWFvaDNOYU90SzA3QlYzTmRn.com,62,2,1,0x00000001,1,0,0,0,,,
